Twitter ID,Added,Observed,Screen name,Followers
816178,1770368620,1784271805,MADRID,815435
823860,1770368620,1784271805,LAFD,240881
1001741,1770368620,1784271805,Connie,2095
1839871,1770368620,1784271805,anwaribrahim,2222466
3354811,1770368620,1784271805,Inde,3533
3496221,1770368620,1784271805,ORG,1820
4192681,1770368620,1784271805,CharlotteV,8170
4553061,1770368620,1784271805,sarahinthesen8,168912
4808861,1770368620,1784271805,eliodirupo,231207
5361352,1770368620,1784271805,FCCPS,3994
5496932,1770368620,1784271805,NRCC,109447
5509762,1770368620,1784271805,SarahHuckabee,2151582
5558312,1770368620,1784271805,JohnBoozman,116186
5693842,1770368620,1784271805,NRSC,172923
6046592,1770368620,1784271805,for,698
6183952,1770368620,1784271805,DraganMJonic,343
6364652,1770368620,1784271805,PeterHain,28839
6450322,1778214184,1784271805,womenshealth,763850
6467332,1770368620,1784271805,UKParliament,1534638
7004382,1770368620,1784271805,EdWorkforceDems,23469
7152572,1770368620,1784271805,librarycongress,1125263
7383122,1770368620,1784271805,UNICEFUSA,467014
7429102,1770368620,1784271805,MarkWarner,472724
7756322,1770368620,1784271805,strasbourg,115663
8082302,1778213805,1784271805,HealthGov,430618
8775672,1770368620,1784271805,USArmy,2243923
9624742,1770368620,1784271805,StateDept,6753618
10126672,1770368620,1784271805,USMC,1814474
10207732,1770368620,1784271805,fahmi_fadzil,225011
10215212,1770368620,1784271805,NHSuk,566657
10302222,1770368620,1784271805,UNICEF_uk,205541
10615232,1770368620,1784271805,ChuckGrassley,998448
10622932,1770368620,1784271805,nicogoncas,9251
10926872,1770368620,1784271805,NSWRFS,176911
10955042,1770368620,1784271805,LukePollard,53309
11289792,1770368620,1784271805,gobiernochubut,96363
11348282,1770368620,1784271805,NASA,92193757
11456632,1770368620,1784271805,HFRS,18253
11651202,1770368620,1784271805,SteveDaines,101056
11911322,1770368620,1784271805,philippejuvin,51409
12415722,1770368620,1784271805,chandraxray,418729
12458472,1770368620,1784271805,shindo_y,66667
12858902,1770368620,1784271805,UnderSecPD,154769
13218102,1770368620,1784271805,JohnCornyn,413207
13438132,1770368620,1784271805,goud,133
14074515,1770368620,1784271805,USAGov,342914
14077382,1770368620,1784271805,JamesCleverly,251661
14077586,1770368620,1784271805,bastiengirod,14291
14088798,1770368620,1784271805,hktdc,17683
14091091,1770368620,1784271805,NASAHubble,8909642
14124059,1770368620,1784271805,wsdot,361860
14157177,1770368620,1784271805,nicustefanuta,6521
14159148,1770368620,1784271805,UN,16111632
14171352,1770368620,1784271805,augustodeAB,548006
14181882,1770368620,1784271805,GobAgs,44487
14198971,1770368620,1784271805,DennisWiersma,13312
14224719,1770368620,1784271805,10DowningStreet,5642394
14237828,1770368620,1784271805,MarleneSchiappa,244497
14260960,1770368620,1770368620,JustinTrudeau,6421054
14283525,1770368620,1784271805,kmitsotakis,431439
14284260,1770368620,1784271805,RobertBuckland,31165
14287409,1770368620,1784271805,USAGovEspanol,159911
14294400,1770368620,1784271805,TimWattsMP,32445
14304373,1770368620,1784271805,UtahGov,78664
14326086,1770368620,1784271805,NYCWater,25363
14333333,1770368620,1784271805,ChandlerPolice,46301
14340875,1770368620,1784271805,Stortinget,100666
14340921,1770368620,1784271805,Regjeringen,139268
14342564,1770368620,1784271805,NOAA,1333816
14344823,1770368620,1784271805,SenateGOP,1686099
14353202,1770368620,1784271805,FCDOGovUK,1062298
14361155,1770368620,1784271805,Refugees,2750860
14387881,1770368620,1784271805,gijon,32575
14395178,1770368620,1784271805,grahamstuart,23370
14427319,1770368620,1784271805,CityofCupertino,5975
14431752,1770368620,1784271805,biztradegovuk,144203
14468916,1770368620,1784271805,CityofMonterey,14137
14499829,1770368620,1784271805,WHO,12645687
14505838,1770368620,1784271805,USGS,768899
14517623,1770368620,1784271805,montco_pa,16841
14538949,1770368620,1784271805,MichelleRempel,180057
14560359,1770368620,1784271805,zenanaut,25036
14561015,1770368620,1784271805,DamianHinds,31210
14584310,1770368620,1784271805,IowaDPS,7385
14585528,1770368620,1784271805,freiburg,14498
14587402,1770368620,1784271805,AndrewMuirNI,7806
14590758,1770368620,1784271805,AnnaMcMorrin,19013
14604442,1770368620,1784271805,PortlandPolice,238683
14615871,1770368620,1784271805,EPA,611508
14625398,1770368620,1784271805,USCIS,569150
14675346,1770368620,1784271805,bglaettli,24438
14700117,1770368620,1784271805,MayorofLondon,2887029
14713787,1770368620,1784271805,CanadianPM,782760
14713836,1770368620,1784271805,PMcanadien,45023
14714673,1770368620,1784271805,MyODFW,18562
14728535,1770368620,1784271805,mikejwood,8761
14734993,1770368620,1784271805,alasdairallan,6391
14745100,1770368620,1784271805,nuevoleon,250250
14758060,1770368620,1784271805,anjoumnooraniuk,1339
14784765,1770368620,1784271805,FabioDeMasi,105831
14820097,1770368620,1784271805,jstockwood,10386
14830116,1770368620,1784271805,julienbayou,66043
14836336,1770368620,1784271805,louisvillekygov,13329
14844466,1770368620,1784271805,niassembly,44459
14845210,1770368620,1784271805,Steffanaquarone,5861
14845376,1770368620,1784271805,GrahamBlog,99065
14856951,1770368620,1784271805,USAinUK,90952
14878514,1770368620,1784271805,ajay,1845
14922541,1770368620,1784271805,sonomasheriff,30474
14930881,1770368620,1784271805,dai_le,9838
14941669,1770368620,1784271805,majedalansari,142206
14947962,1770368620,1784271805,cityofokc,105895
14952924,1770368620,1784271805,etfeuropa,10683
14980721,1770368620,1784271805,bankofcanada,253505
14982625,1769962564,1769962564,NASAMoon,893440
14984637,1770368620,1784271805,chelliepingree,33881
14989742,1770368620,1784271805,vladomirosevic,105324
15032024,1770368620,1784271805,Hillingdon,44120
15061445,1770368620,1784271805,jonasfernandez,6300
15078840,1769962564,1769962564,NASAAstrobio,819986
15102849,1769962564,1769962564,NASASun,1029904
15107470,1770368620,1784271805,banqueducanada,9304
15113565,1770368620,1784271805,USCG,737044
15117459,1769962564,1769962564,NASAExpeditions,137920
15134240,1770368620,1784271805,NIH,1743686
15157283,1770368620,1784271805,SteveBakerFRSA,156357
